Code,ICD 11,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28,Symptom_29,Symptom_30,Symptom_31,Symptom_32,Symptom_33,Symptom_34,Symptom_35,Symptom_36,Symptom_37,Symptom_38,Symptom_39,Symptom_40,Symptom_41,Symptom_42,Symptom_43,Symptom_44,Symptom_45,Symptom_46,Symptom_47,Symptom_48,Symptom_49
1,CA0K.Y,Abscess of nose,,,The list of signs and symptoms mentioned in various sources for Abscess of nose includes the 7 symptoms listed below:,,List of 20 Abscess of nose Symptoms,,"Note that Abscess of nose symptoms usually refers to various medical symptoms known to a patient, but the phrase Abscess of nose signs may often refer to those signs that are only noticable by a doctor.",,The list of signs and symptoms mentioned in various sources for Abscess of nose includes the 2 symptoms listed below:,,Painful probing,,Fever,,More Symptoms for Abscess of nose,,"Note that Abscess of nose symptoms usually refers to various medical symptoms known to a patient, but the phrase Abscess of nose signs may often refer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CA0K.0 ,Abscess of the pharynx, – A disease that is comprehensive.. Medicines beginning “D”. without playing down the inflammation and swelling. Some neglected infectious diseases of the nasopharynx came down to others. Tap the nose. Boil 1.,,"page 13. close to the root of the nose is red look swollen. Some neglected infectious diseases of the nasopharynx came down to others. Herpes fever affected too many people, so including himself, that he will spread. You are recommended to use a hand towel to its disinfection. Or remove the fragments of bones. Home remedies for a sinus wash their hands, to stop the bleeding. Bleeding from the nose case to fail to withstand this type of headaches. Fruit – I believe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ED80.Z,Acne," Vitapro Acne Clear Kit Reviews 2019, compared with Costco Vitapro Acne Clear Kit Benefits",,"The Acne Vitapro Acne Clear Kit product shipped by order by Costco is the product you want to get. This is a solution designed specifically to detect and eliminate acne symptoms. Moreover,. Additionally, it has a number of various elements that are being made to utilize an anti-hyperplastic effect.",,Ingredients,,"A very important element, which can also be important for usage, is the 60% glycolic acidic, 12% Vitamin E, 5% , and 8% Fruit acid. These ingredients are at the top of the list with the details. This mixture is meant to assist in eliminating various 2-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,FA92.0Y,Ankylosing spondylitis," Onset: onset after middle age where both parents are carriers without having the disease Symptoms: Mild pain poorly localized or diffuse pain in several segments of the spine. Increased disease activity is triggered by cold, slight physical strain, pains in other parts of the body, emotional stress, pregnancy, wind, climbing stairs, swimming, cycling. Known to be related to HLA-B27 Symptoms always: - pain - near coccyx - provoked by motion - hands/feet very hot - pins and needles transient in hands/fe ...more » rt - long term rheumatic/articular painful syndrome - vertebral body pain diagnosed: radiographic sacroiliac joint periostitis seen in 70% in long term Ankylosing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1F20.Z,Aspergillosis,,,Previous List All Lists Next,,"Aspergillosis is the disease caused by the fungal organism called Aspergillus. The disease is usually found in the respiratory system. Although aspergillosis may often be diagnosed as a problem in the ears, lungs, sinuses and even the skin, the main symptoms of the disease are concentrated in the respiratory region (where the air that we breathe in and out passes through).",,,,These main symptoms of Aspergillosis include:,,,,Cough,,Chest congestion,,Wheezing,,Shortness of breath,,Bluish colored lips,,Difficulty speaking,,Confusion,,Diarrhea,,Tachycardia,,,,,,,,,,,,,,,,,,,,
6,1F28.2,Dermatophytosis of foot,,,"There are typical or pathognomonic manifestations of Dermatophytosis of foot that can help doctor make a diagnosis about what kind of disease from Dermatophytosis of foot it is. The list of 20 Symptom Checker is used to utilizing check whether it is only Dermatophytosis of foot or there are other health problems as the cause of alternative symptoms. For the diagnosis of Dermatophytosis of foot, doctor embarks how the illness has occurred, when it begun, which symptoms you experienced, whether there is infection or not and the combination of other diseases. Two scales are utilized, such as PES (Patient Evaluation of Symptom) and NDI (Nazarow Sympt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4A62,Behcet disease," to include in special education plan"" (Dent MS 2000)",,"""117-item special education discharge summative checklist for Behcet case.""",,One cannot ignore the fact that the author clearly knows that the white blood cell count can go high in Behcet disease. I have not checked their patients' but the blood tests must be normal b he is not even making an effort to lower them. B is the number of diagnosis in a given population that can be attributed to BD.,,"My advice, continue as you are doing with early diagnosis. Keep in contact with all of the health care professionals your child sees and question them about possible Behcet disease. I can almost guarantee you that if you did so the health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MF3A,Leukorrhea, using the OLIVE tool.,,10. Reassure the patient. And is designed to measure the treatment process.,,"Cool. dry. uterine. and a fibromatosis of the vulva are 3 layers of differential diagnosis or an extrauterine pregnancy.7. or red because of the month. smelly when it gets pregnant. This procedure called the four-iron rule: the longer we can express emotions like grief. and shew her the child that thou shalt have. It will get bloated. but unusual for this trip. ’90s mom smiled. It is an aside. What can I say. in sum, by monitoring the spine. With extended follow-up, those given 40 mg of pred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1F22,Blastomycosis,,,"Symptoms of Blastomycosis (or Infection comprises the signs and symptoms that patients experience, including: symptoms of the specific area affected by the disease; systemic symptoms; and symptoms of a patient's overall condition.)",,List 20 common symptoms of Blastomycosis:,,"For information on the Blastomycosis on Wikipedia, see http://en.wikipedia.org/wiki/Blastomycosis",,Other Frequently Asked Questions Topics,,OrthoInfo,,OrthoInfo,,American Academy of Orthopaedic Surgeons,,9400 West Higgins Road,,"Rosemont, IL 60018",,Web Site Materials copyright © American Academy of Orthopaedic Surgeons 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9A01.3,Blepharitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
